"","Jurisdiction","Inspected","ObsWeather","FacilityID","AvgDischarge","ObsRecordDate","FlowContribution","FlowCondition","PersistentFlow","FlowConnectivity","IDIC","Priority","PrioritizationScore2022","Conductivity","FloatDischargeCFS","VolumeDischargeCFS","LastDischargeTrend","ScourWaterCondition","DissWaterCondition","Comments","TrashCondition","TrashLocation","SampleDry","SampleWet","OCFSLocation","MaintenanceIssue","PointY","PointX"
"445","San Juan Capistrano","Verified",1,"L02-541-9 (L02P02)",0.048641,2023-08-07,"Small Fraction (<10%)","Flowing","Yes","Undetermined",,"Not A Priority",,395,,,"Below Average Discharge","Not present","Not present","Flow is too low to quantify","Abundant (>50 Items)","In flow path of outfall",,,,"Graffiti",33.50399068,-117.6675175
"446","Laguna Niguel","Verified",1,"K01-12156-6",0.564637,2023-05-23,"Major Fraction (>50%)","Flowing","Yes","Direct Connection",,,,5282,1.234286,,"20% Or More Above Average Discharge","Not present","Not present","L: .15 c: 0.24 r: 0.15; handheld is 0.61 cfs","Moderate (11-50 Items)","Within area surrounding outfall",,,,,33.49533383,-117.7149148
"447","Laguna Niguel","Verified",1,"K01-12156-6",0.564637,2023-08-10,"Major Fraction (>50%)","Flowing","Yes","Direct Connection","None",,,4953,,,"20% Or More Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.49533383,-117.7149148
"448","Orange Co","Verified",1,"L01-517-3",0.001664,2023-05-30,,"Other - See Comments","Unknown",,,"Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present","outfall is within wildlife sanctuary and is inaccessible. outfall cannot be seen due to overgrown vegetation","Not Present (0 Items)",,,,,"Other - See Comments",33.52266244,-117.62028151
"449","Orange Co","Verified",1,"L01-517-3",0.001664,2023-08-14,,,"Unknown",,,"Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present","Site can not be accessed due to fenced off nature reserve. Site also could not be observed dude to overgrowth around outfall.",,,,,,,33.52266244,-117.62028151
"450","San Juan Capistrano","Verified",1,"L01-601-1",0,2023-06-06,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present","dampness in flow path, possibly from recent discharge. Pipe cover being held open by wooden log. piles of leaves present","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.48172393,-117.67788801
"451","San Juan Capistrano","Verified",1,"L01-601-1",0,2023-08-08,"Small Fraction (<10%)","Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.48172393,-117.67788801
"452","Orange Co","Verified",1,"L02-401-2 (COL02P55)",,2023-05-08,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,,"Not present","Not present","Arundo.  Sediment choking off flow path from outfall","Moderate (11-50 Items)","Within area surrounding outfall",,,,"Clogged",33.56248669,-117.65073625
"453","Orange Co","Verified",1,"L02-401-2 (COL02P55)",,2023-09-25,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,,"Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.56248669,-117.65073625
"454","Orange Co","Verified",1,"L01-335-1",0.013073,2023-05-30,,"Flowing","Yes","Unsafe to Access","None","Priority",57,,,,"20% Or More Above Average Discharge","Not present","Not present","outfall inaccessible due to new fencing. DA1 key required for entry into access road area. Outfall is flowing but is not accessible. If it was accessible, waders would be necessary.","Abundant (>50 Items)","Within area surrounding outfall",,,,"Other - See Comments",33.57790461,-117.61285256
"455","Orange Co","Verified",1,"L01-335-1",0.013073,2023-06-19,,"Flowing","Yes",,,"Priority",57,700,0.018533,,"20% Or More Above Average Discharge","Not present","Not present","Flow width and depth were measured in inches.  SG updated data to feet on 10/2/2023.","Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.57790461,-117.61285256
"456","Orange Co","Verified",1,"L01-335-1",0.013073,2023-08-14,"Small Fraction (<10%)",,"Yes","None - Flow Infiltrates or Outfall is Dry","Trash","Priority",57,800,0.025641,,"20% Or More Above Average Discharge","Not present","Not present","Flow Measurements recorded in ft; conductivity in uS/cm; temp: 23 degrees C","Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.57790461,-117.61285256
"457","San Juan Capistrano","Verified",1,"L01-618-4",0,2023-08-09,"Small Fraction (<10%)","Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry","Trash","Not A Priority",,,,,"Equal","Not present","Not present","thick vegetation growing on top & all around outfall; thick spiky palm trees","Moderate (11-50 Items)","Within area surrounding outfall",,,,"Overgrown",33.5025008,-117.6485177
"458","San Juan Capistrano","Verified",1,"L01-618-4",0,2023-05-19,,"Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,"Overgrown",33.5025008,-117.6485177
"459","Aliso Viejo","Verified",1,"J01-9313-1",0.05,2023-06-30,,"Other - See Comments","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present","We hiked through heavy vegetation to the edge of a drop off and could find no way down to the creek/outfall",,,,,,"Overgrown",33.56256131,-117.74339262
"460","Aliso Viejo","Verified",1,"J01-9313-1",0.05,2023-04-20,"Minor Fraction (10 - 50%)","Flowing","Unknown","Partial - Significant Distance",,"Not A Priority",,,,,"Equal","Not present","Not present","Inspection done while doing channel erosion stream walk","Sparse (<10 Items)","In flow path of outfall",,,,,33.56256131,-117.74339262
"461","Aliso Viejo","Verified",1,"J01-9313-1",0.05,2023-08-28,,"Flowing","Unknown","Direct Connection","Surfactants","Not A Priority",,,,,"Equal","Not present","Brown ""tea"" tint","Fence collapsed by large fallen tree; fence is locked and needs key for entry but was open/broken upon arrival; accessibility to outfall is challenging and was severely overgrown but it seems like a fire burn zone was created and lots of vegetation was recently removed, allowing us to enter the deep canyon and locate the outfall past the edge of the cliff. Outfall was flowing but requires waders.","Not Present (0 Items)",,,,,,33.56256131,-117.74339262
"462","San Juan Capistrano","Verified",1,"L01-618-1",0.081,2023-08-07,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.5000465,-117.65217064
"463","San Juan Capistrano","Verified",1,"L01-618-1",0.081,2023-06-05,"Small Fraction (<10%)","Pooled or Ponded","Yes","Direct Connection","None","Not A Priority",,2152,,,"Equal","Not present","Not present","vegetation surrounding outfall extremely overgrown. fallen trees over the channel of the outfall. bird activity","Abundant (>50 Items)","In flow path of outfall",,,,"Overgrown",33.5000465,-117.65217064
"464","San Juan Capistrano","Verified",1,"L01-766-2 (L01S06)",0.180442,2023-08-07,"Small Fraction (<10%)","Flowing","Unknown","Direct Connection",,"Not A Priority",,1450,0.203704,,"Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.48591622,-117.67215175
"465","San Juan Capistrano","Verified",1,"L01-766-2 (L01S06)",0.180442,2023-06-05,,"Other - See Comments","Unknown","Unsafe to Access",,"Not A Priority",,,,,"Above Average Discharge","Not present","Not present","outfall seen from a distance due to an unhoused neighbor appearing to be at the outfall. encampment appears to have someone in it. from a distance, outfall structure looks good.","Abundant (>50 Items)","Within area surrounding outfall",,,,,33.48591622,-117.67215175
"466","Orange Co","Verified",1,"L01-391-1",0,2023-05-31,,"Pooled or Ponded","Yes","Direct Connection",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,,33.57606988,-117.58591645
"467","Orange Co","Verified",1,"L01-391-1",0,2023-08-15,"Minor Fraction (10 - 50%)","Pooled or Ponded","Yes","Direct Connection","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Moderate (11-50 Items)","In flow path of outfall",,,,"Clogged",33.57606988,-117.58591645
"468","Mission Viejo","Verified",1,"L03-074-2",0.016608,2023-07-03,,"Flowing","Yes",,,"Priority",36,1355,0.008834,,"Below Average Discharge","Not present","Not present","2.25L in 15.3s (85%), lots of flies, flow depth: L - 0.02 R - 0.01 C - 0.03, Flow velocity: L - 9.08 R - 8.61 C - 8.79","Moderate (11-50 Items)","Within area surrounding outfall",,,,,33.63947149,-117.64176341
"469","Mission Viejo","Verified",1,"L03-074-2",0.016608,2023-08-17,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",36,1368,0.006083,,"Below Average Discharge","Not present","Not present","Debris in flow path (fence post), 0.5 liters in 10.5 seconds for volumetric flow approximately 90% captured","Sparse (<10 Items)","In flow path of outfall",,,,"Clogged",33.63947149,-117.64176341
"470","Mission Viejo","Verified",1,"L03-214-2 (L03P18)",0.596516,2023-07-03,"Major Fraction (>50%)","Flowing","Yes","Direct Connection","None","Priority",75,3543,0.524735,0.25,"Below Average Discharge","Not present","Not present","Sediment","Sparse (<10 Items)","In flow path of outfall","Yes",,1,"None",33.6237248,-117.64231509
"471","Mission Viejo","Verified",1,"L03-214-2 (L03P18)",0.596516,2023-08-02,"Major Fraction (>50%)","Flowing","Yes","Direct Connection",,"Priority",75,3489,0.542857,0.219,"Below Average Discharge","Not present","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall","Yes",,1,,33.6237248,-117.64231509
"472","Mission Viejo","Verified",1,"L03-214-2 (L03P18)",0.596516,2023-05-18,"Major Fraction (>50%)","Flowing","Yes","Direct Connection","None","Priority",75,4786,1.269767,,"Below Average Discharge","Not present","Clear",,"Not Present (0 Items)",,"Yes",,1,"None",33.6237248,-117.64231509
"473","Orange Co","Verified",1,"L01-303-3",,2023-05-31,,"Other - See Comments","Unknown",,,,,,,,,"Not present","Not present","Cannot access due to overgrown vegetation",,,,,,"Other - See Comments",33.59526175,-117.5840821
"474","Orange Co","Verified",1,"L01-303-3",,2023-08-15,,,"Unknown",,,,,,,,,"Not present","Not present","Cannot access due to overgrown vegetation",,,,,,"Other - See Comments",33.59526175,-117.5840821
"475","Orange Co","Verified",1,"L01-414-1",,2023-08-17,"Small Fraction (<10%)","Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","Oil sheen","Not A Priority",,,,,,"Not present","Not present","lots of tennis balls; oil/sheen on surface of water; frogs; overgrown vegetation surrounding outfall","Moderate (11-50 Items)","In flow path of outfall",,,,"Overgrown",33.56170664,-117.59054811
"476","Orange Co","Verified",1,"L01-414-1",,2023-06-01,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,,"Not present","Not present","outfall is extremely clogged, only 2-3inches of opening is visible. rest is clogged with vegetation and sediment. also sparse trash in area surrounding outfall. large tree growing in middle of outfall","Sparse (<10 Items)","In flow path of outfall",,,,"Clogged",33.56170664,-117.59054811
"477","Orange Co","Verified",1,"M01-002-1",0,2023-09-14,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.49159297,-117.61283462
"478","Aliso Viejo","Verified",1,"I01-11217-1",0.001777,2023-09-26,,"Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Brown ""tea"" tint","Not present","Faded graffiti at top of outfall.","Sparse (<10 Items)","In flow path of outfall",,,,"None",33.59737837,-117.74628871
"479","Aliso Viejo","Verified",1,"I01-11217-1",0.001777,2023-07-20,,"Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Not present","Not present","No flow measurements can be made; wet marks are present but there is no flow.","Sparse (<10 Items)","In flow path of outfall",,,,"Graffiti",33.59737837,-117.74628871
"480","Aliso Viejo","Verified",1,"I01-11217-1",0.001777,2023-07-20,"Major Fraction (>50%)","Pooled or Ponded","Unknown","Direct Connection","Trash","Not A Priority",,,,,"Below Average Discharge","Brown ""tea"" tint","Brown ""tea"" tint","Unable to access outfall due to water depth however able to observe outfall conditions in an elevated position, conductivity measurement not able to be taken","Abundant (>50 Items)","In flow path of outfall",,,,"None",33.59737837,-117.74628871
"481","Dana Point","Removed From Inventory",1,"L01-613-1",0.005884,2023-08-08,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None",,,16340,,,"Above Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,"Graffiti",33.46916647,-117.6793327
"482","Dana Point","Removed From Inventory",1,"L01-613-1",0.005884,2023-06-06,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None",,,1728,0.006136,,"Above Average Discharge","Not present","No ponding","graffiti at site. ping on map was incorrect.","Not Present (0 Items)",,,,,"Graffiti",33.46916647,-117.6793327
"483","San Clemente","Verified",1,"SC05-073-1",0.006985,2023-05-24,,,"Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Not present","Not present","outfall is completely full of sand and sediment. not flow whatsoever","Sparse (<10 Items)","Within area surrounding outfall",,,,,33.41311138,-117.61384378
"484","San Clemente","Verified",1,"SC05-073-1",0.006985,2023-08-02,,"Dry","Unknown",,,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,,33.41311138,-117.61384378
"485","Dana Point","Verified",1,"K01-12159-2",0.149132,2023-06-21,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",62,4738,0.176904,0.097,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall","Yes",,,,33.4824512,-117.72043209
"486","Dana Point","Verified",1,"K01-12159-2",0.149132,2023-08-15,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",62,5368,0.0864,0.083,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall","Yes",,,,33.4824512,-117.72043209
"487","Orange Co","Verified",1,"L01-335-2",0,2023-05-30,,"Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry",,,,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.57739792,-117.61274918
"488","Orange Co","Verified",1,"L01-335-2",0,2023-08-14,"Small Fraction (<10%)","Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry","None",,,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"Sediment",33.57739792,-117.61274918
"489","Orange Co","Verified",1,"M01-003-1",0,2023-09-14,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present","Animal foot prints","Moderate (11-50 Items)","In flow path of outfall",,,,,33.48892946,-117.61344403
"490","San Clemente","Verified",1,"M02-085-1 (M02P06)",0.069651,2023-06-15,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",61,3063,0.03744,0.019,"20% Or More Above Average Discharge","Clear","Clear",,"Sparse (<10 Items)","Within area surrounding outfall","Yes",,,"Clogged",33.4583462,-117.5945829
"491","San Clemente","Verified",1,"M02-085-1 (M02P06)",0.069651,2023-08-30,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",61,5614,0.040449,0.017,"20% Or More Above Average Discharge","Not present","Not present",,"Not Present (0 Items)",,"Yes",,,,33.4583462,-117.5945829
"492","San Clemente","Verified",1,"M02-085-1 (M02P06)",0.069651,2023-09-07,,"Flowing","Yes","Direct Connection","None","Priority",61,2240,0.178182,,"20% Or More Above Average Discharge","Not present","Not present","Temp = 70.1 degrees F;","Not Present (0 Items)",,"Yes",,,"None",33.4583462,-117.5945829
"493","San Juan Capistrano","Verified",1,"L02-571-1",0,2023-06-06,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.49086976,-117.66612034
"494","San Juan Capistrano","Verified",1,"L02-571-1",0,2023-08-08,"Small Fraction (<10%)","Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.49086976,-117.66612034
"495","Aliso Viejo","Verified",1,"J01-9007-1 (J02P05)",0.101998,2023-09-06,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",49,1529,0.097959,0.019,"Below Average Discharge","Green tint","Green tint",,"Sparse (<10 Items)","In flow path of outfall","Yes",,1,"None",33.55864514,-117.73782664
"496","Aliso Viejo","Verified",1,"J01-9007-1 (J02P05)",0.101998,2023-06-21,,"Flowing","Yes","Undetermined","None","Priority",49,2756,0.018261,0.003,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall","Yes",,1,"None",33.55864514,-117.73782664
"497","Aliso Viejo","Verified",1,"J01-9007-1 (J02P05)",0.101998,2023-04-27,,"Flowing","Yes",,,"Priority",49,,0.012925,0.007,"Below Average Discharge","Not present","Not present",,,,"Yes",,1,,33.55864514,-117.73782664
"498","Mission Viejo","Verified",1,"L04-136-1 (L04P07)",,2023-09-28,,"Pooled or Ponded","Yes","Partial - Significant Distance",,"Not A Priority",,,,0.106,,"Not present","Green tint",,"Moderate (11-50 Items)","In flow path of outfall",,,,,33.60686817,-117.67786535
"499","Mission Viejo","Verified",1,"L04-136-1 (L04P07)",,2023-05-18,,"Pooled or Ponded","Yes","Undetermined",,"Not A Priority",,,,,,"Brown ""tea"" tint","Not present","Runoff from neighborhood flowing down service road (SpecCond is 689 uS/cm)","Moderate (11-50 Items)","Within area surrounding outfall",,,,,33.60686817,-117.67786535
"500","Laguna Beach","Verified",1,"I01-11021-1",0.016355,2022-11-05,,"Flowing","Yes",,,,,2842,0.007692,,"Below Average Discharge","Not present","Not present","Dried leaves",,,,"Yes",,,33.54156337,-117.78262698
"501","Laguna Niguel","Verified",1,"J01-9144-1 (J01P23)",0.018688,2023-04-26,,"Flowing","Yes",,,"Priority",52,,,0,"Below Average Discharge","Not present","Not present","Trickle flow",,,,,,,33.554894,-117.71895089
"502","Laguna Niguel","Verified",1,"J01-9144-1 (J01P23)",0.018688,2023-07-26,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",52,1392,,0.006,"Below Average Discharge","Not present","Not present","Leaf litter","Moderate (11-50 Items)","In flow path of outfall",,,,,33.554894,-117.71895089
"503","San Juan Capistrano","Verified",1,"L02-541-7",0,2023-06-06,"Small Fraction (<10%)","Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,,33.49992872,-117.66647854
"504","San Juan Capistrano","Verified",1,"L02-541-7",0,2023-08-08,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.49992872,-117.66647854
"505","Laguna Beach","Verified",1,"I00-11468-1",0.039855,2023-09-06,,,"Yes",,,"Priority",55,,,,"Below Average Discharge","Not present","Not present","Inaccessible due to vegetation",,,"Yes",,,"Overgrown",33.53565787,-117.76901328
"506","Laguna Beach","Verified",1,"I00-11468-1",0.039855,2023-06-07,,"Flowing","Yes",,,"Priority",55,,,,"Below Average Discharge","Not present","Not present","Inaccessible due to vegetation.",,,"Yes",,,"Overgrown",33.53565787,-117.76901328
"507","San Juan Capistrano","Verified",1,"L03-455-4",0,2023-06-29,"Small Fraction (<10%)","Other - See Comments","Unknown","Partial - Significant Distance","None","Not A Priority",,,,,"Equal","Not present","Not present","Outfall wet with evidence of recent flows; not enough volume to measure any flow.","Sparse (<10 Items)","In flow path of outfall",,,,"None",33.5397457,-117.67546242
"508","San Juan Capistrano","Verified",1,"L03-455-4",0,2023-08-31,"Small Fraction (<10%)","Other - See Comments","Unknown","Direct Connection",,"Not A Priority",,,,,"Equal","Not present","Not present","Flow too low to measure","Not Present (0 Items)",,,,,"None",33.5397457,-117.67546242
"509","San Juan Capistrano","Verified",1,"L01-747-1",0.045,2023-08-09,,"Pooled or Ponded","Yes",,,"Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present","Could not access outfall due to overgrowth; visualized ponded/pooled water from top view of road",,,,,,,33.5089042,-117.63450608
"510","San Juan Capistrano","Verified",1,"L01-747-1",0.045,2023-06-05,,"Pooled or Ponded","Yes","Direct Connection",,"Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present","Very hard to access due to overgrown vegetation","Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.5089042,-117.63450608
"511","Rancho Santa Margarita","Verified",1,"L02-622-2 (L02P32)",0.100282,2023-06-12,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","None","Not A Priority",,5000,,0.035,"Above Average Discharge","Not present","No ponding","2L filled in 2 seconds with graduated cylinder. outfall in campground","Moderate (11-50 Items)","In flow path of outfall",,,,,33.64724654,-117.60247434
"512","Orange Co","Verified",1,"L02-374-1 (L02P50)",0.197378,2023-08-08,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","None","Priority",66,,0.196,0.038,"Below Average Discharge","Yellow tint","Yellow tint",,"Not Present (0 Items)",,"Yes",,,"Graffiti",33.56985508,-117.64601249
"513","Orange Co","Verified",1,"L02-374-1 (L02P50)",0.197378,2023-07-25,,"Flowing","Yes","Undetermined","None","Priority",66,3095,0.155087,0.079,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,"Yes",,,"None",33.56985508,-117.64601249
"514","Orange Co","Verified",1,"L02-374-1 (L02P50)",0.197378,2023-08-01,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","None","Priority",66,2300,0.118125,0.073,"Below Average Discharge","Brown ""tea"" tint","Brown ""tea"" tint",,"Not Present (0 Items)",,"Yes",,,"Graffiti",33.56985508,-117.64601249
"515","Orange Co","Verified",1,"L02-374-1 (L02P50)",0.197378,2023-02-07,"Small Fraction (<10%)","Flowing","Yes","Partial - Significant Distance",,"Priority",66,4626,0.400424,,"Below Average Discharge","Brown ""tea"" tint","Brown ""tea"" tint","Dirt and branches in front of flow.  Turbidity: 2.52","Sparse (<10 Items)","In flow path of outfall","Yes",,,"Graffiti",33.56985508,-117.64601249
"516","Orange Co","Verified",1,"L02-374-1 (L02P50)",0.197378,2023-07-11,,"Flowing","Yes","Direct Connection","None","Priority",66,2258,0.36,0.067,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall","Yes",,,"Graffiti",33.56985508,-117.64601249
"517","Orange Co","Verified",1,"L02-374-1 (L02P50)",0.197378,2023-06-27,"Small Fraction (<10%)","Flowing","Yes","Partial - Significant Distance",,"Priority",66,2913,0.115281,0.055,"Below Average Discharge","Not present","Yellow tint","Tadpoles,flies,frogs","Not Present (0 Items)",,"Yes",,,,33.56985508,-117.64601249
"518","Orange Co","Verified",1,"L02-374-1 (L02P50)",0.197378,2023-07-18,,"Flowing","Yes","Unsafe to Access","None","Priority",66,3452,0.090995,0.058,"Below Average Discharge","Brown ""tea"" tint","Brown ""tea"" tint",,"Not Present (0 Items)",,"Yes",,,"Graffiti",33.56985508,-117.64601249
"519","Laguna Beach","Verified",1,"I01-11487-1",0,2023-07-06,,"Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Moderate (11-50 Items)","In flow path of outfall",,,,"None",33.54221573,-117.7852577
"520","Laguna Beach","Verified",1,"I01-11487-1",0,2023-08-14,,"Dry","Unknown",,"None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.54221573,-117.7852577
"521","Rancho Santa Margarita","Verified",1,"L01-125-1",2.5,2023-08-10,,"Flowing","Yes","Undetermined","Other - see comments","Not A Priority",,,,,"Equal","Not present","Not present","Bubbles. Water level too high to access to conduct flow measurements","Sparse (<10 Items)","In flow path of outfall",,,,"Overgrown",33.65133621,-117.56709677
"522","Rancho Santa Margarita","Verified",1,"L01-125-1",2.5,2023-06-13,"Major Fraction (>50%)","Flowing","Yes","Direct Connection",,"Not A Priority",,2108,2.5,,"Equal","Not present","Surface scum","12 seconds for 6 feet in the center.  Back flow at edges. Average velocity closer to 0.167 ft/sec.  Edited seconds to account for back-flow (sg).","Moderate (11-50 Items)","In flow path of outfall",,,,"Clogged",33.65133621,-117.56709677
"523","Laguna Niguel","Verified",1,"J03-9215-1",,2023-06-27,,"Pooled or Ponded","Yes",,,"Not A Priority",,,,,,"Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.53115836,-117.70566259
"524","Laguna Niguel","Verified",1,"J03-9215-1",,2023-09-01,,"Pooled or Ponded","Yes","Undetermined",,"Not A Priority",,,,,,"Not present","Not present","Outfall was dangerous to access but could see from above it was ponded","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.53115836,-117.70566259
"525","Rancho Santa Margarita","Verified",1,"L01-730-1",0.023405,2023-08-10,"Small Fraction (<10%)","Flowing","Yes","Undetermined","None","Not A Priority",,1582,,,"Below Average Discharge","Not present","Not present","Outfall is inaccessible; conductivity taken from dissipator. Temp: 22.4°C","Not Present (0 Items)",,,,,"None",33.62428099,-117.56389525
"526","Rancho Santa Margarita","Verified",1,"L01-730-1",0.023405,2023-06-13,,"Pooled or Ponded","Yes","Direct Connection",,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.62428099,-117.56389525
"527","San Clemente","Verified",1,"M00.1-071-3 (M00S04)",0.044229,2023-06-19,,"Flowing","Yes",,,"Not A Priority",,3561,,,"Below Average Discharge",,"Green tint","Time in seconds:9.77 Volume in mL:2140","Moderate (11-50 Items)","Within area surrounding outfall",,,,,33.41325504,-117.60282649
"528","San Clemente","Verified",1,"M00.1-071-3 (M00S04)",0.044229,2023-05-24,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Can’t access outfall safely to measure flow accurately","Not Present (0 Items)",,,,,"Graffiti",33.41325504,-117.60282649
"529","San Clemente","Verified",1,"M00.1-071-3 (M00S04)",0.044229,2023-08-04,"Major Fraction (>50%)","Flowing","Yes","Direct Connection","Other - see comments","Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Unable to access outfall to take flow measurements. RW too deep","Abundant (>50 Items)","Within area surrounding outfall",,,,"Graffiti",33.41325504,-117.60282649
"530","Aliso Viejo","Verified",1,"J01-9144-4 (J01P26)",0.003827,2023-09-26,"Small Fraction (<10%)","Flowing","Unknown","Direct Connection","None","Not A Priority",,1442,,0,"Below Average Discharge","Not present","Brown ""tea"" tint","Flow too shallow for floating leaf velocity. Volumetric was collected.","Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.5591058,-117.7186966
"531","Aliso Viejo","Verified",1,"J01-9144-4 (J01P26)",0.003827,2023-07-26,,"Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present",,"Moderate (11-50 Items)","In flow path of outfall",,,,"Other - See Comments",33.5591058,-117.7186966
"532","Aliso Viejo","Verified",1,"J01-9144-4 (J01P26)",0.003827,2023-04-26,,"Dry","Unknown",,,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Evidence of old flows, wet pipe",,,,,,,33.5591058,-117.7186966
"533","San Clemente","Verified",1,"M00.2-066-1 (M00S07)",0.014319,2023-05-24,,"Flowing","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,6410,0.002083,,"20% Or More Above Average Discharge","Not present","Not present","sediment in flow path. plant debris upstream but outfall is still flowing. vegetation/landscaping surrounding outfall but not in flow path","Not Present (0 Items)",,,,,"Sediment",33.42317767,-117.62305914
