Facility Identifier,Accessibility,GlobalID,Area (Acres),LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
K01-12156-6,Easily accessible,{6FB4B9E1-BF9D-41E3-9F3C-703D525B54CD},NA,Salt Creek K01-LN-1 for CHWSRS,90,2022-10-04T23:28:05Z,OCENVRESUSER,NA,NA,12156,K01,1,2,LAGUNA NIGUEL,SOUTH,NA,NA,NA,NA,NA,-117.7149148,33.49533383,Yes,K01-12156-6,NA,1,7,1.234286,20% Or More Above Average Discharge,1.61428571,0.10933333,2.06571428,0.564637,1.234286,0.3072,NA,NA,1,NA,NA,NA
K01-12159-2,Easily accessible,{65F1D30E-87BC-47F7-B9E2-465FBE713D1F},NA,Monarch Beach golf course/south ,96,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,12159,K01,1,0,DANA POINT,SOUTH,2,NA,NA,NA,NA,-117.7204321,33.4824512,Yes,K01-12159-2,NA,1,9,0.0864,Below Average Discharge,1.42555555,0.05985555,3.55555555,0.149132,0.24,0.0864,62,NA,NA,1,NA,NA
K01-12159-3,Easily accessible,{1F0E78FB-3598-45E9-815F-9C59DD96DF84},NA,Monarch Beach golf course/north,48,2023-06-21T22:55:31Z,OCENVRESUSER,NA,NA,12159,K01,1,0,DANA POINT,SOUTH,2,NA,NA,NA,NA,-117.7203981,33.48259382,Yes,K01-12159-3,NA,1,9,0.020687,Below Average Discharge,0.72555555,0.03033333,6.56555555,0.02149,0.048,0.012,43,NA,NA,1,NA,NA
K01-12177-1 (K01P07),Easily accessible,{162A0934-2B45-4BAA-AE44-99D3683A47DD},512.4310488,K01P07 - Salt Creek Trail,78,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,12177,K01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-06-02T07:00:00Z,2016-06-16T07:00:00Z,NA,-117.7073807,33.50860089,Yes,K01-12177-1 (K01P07),NA,1,18,0.36,20% Or More Above Average Discharge,1.02666666,0.07916666,2.27972222,0.254271,1.2,0.019125,77,1,NA,1,NA,1
L01-125-1,Difficult accessibility,{5903AEF4-DE41-446D-A41A-D3014DC8AD95},362.0757556,Robinson ranch off heritage ,66,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,125,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.5670968,33.65133621,Yes,L01-125-1,NA,2,2,2.5,Equal,5,3,20,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA
L01-125-2,Difficult accessibility,{DD113CF9-A134-4437-879D-CFE4C8EED772},113.2704863,NA,45,2022-10-03T23:42:53Z,OCENVRESUSER,NA,NA,125,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.5592684,33.65543421,Yes,L01-125-2,NA,2,2,0,Below Average Discharge,0.15,0.35,15,0.021,0.042,0,NA,NA,NA,NA,NA,NA
L01-125-3,Inaccessible,{33F2DC65-D927-4563-A681-F329D3F84B4B},69.26665813,NA,42,2022-10-04T00:19:11Z,OCENVRESUSER,NA,NA,125,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,2,NA,NA,NA,NA,-117.5642106,33.65525437,Unknown,L01-125-3,NA,2,11,0.0525,20% Or More Above Average Discharge,0.62,0.03,4.33727272,0.034201,0.09,0,65,NA,NA,NA,NA,NA
L01-218-1,Difficult accessibility,{D9AB8BDF-6FF9-4F23-895B-E154A03243AF},66.55096754,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,218,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.5632954,33.63184411,Yes,L01-218-1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-218-2,Difficult accessibility,{36EB35B0-30D7-472E-B8A6-28D21FB8C159},32.56312287,NA,36,2022-10-04T00:19:14Z,OCENVRESUSER,NA,NA,218,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,2,NA,NA,NA,NA,-117.5643856,33.63335256,Yes,L01-218-2,NA,2,10,0.01008,Below Average Discharge,0.48,0.0222,4.2,0.020075,0.06,0.006,61,NA,NA,NA,NA,NA
L01-218-3,Easily accessible,{25F85F71-7FE3-41F6-8378-9EEFE4D6A956},58.59506433,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,218,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.5672819,33.6382812,Yes,L01-218-3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-218-4,Easily accessible,{D52E55F3-6949-417B-9C1F-389593FDF685},37.33151421,NA,36,2022-10-04T00:19:23Z,OCENVRESUSER,NA,NA,218,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,2,NA,NA,NA,NA,-117.5692492,33.63861941,Yes,L01-218-4,NA,1,11,0.059063,20% Or More Above Average Discharge,0.76818181,0.03472727,6.6890909,0.026115,0.059063,0.011,48,NA,NA,NA,NA,NA
L01-223-1 (L08TBN1),Difficult accessibility,{920D2923-A87E-4A8C-864D-656B0F11E23F},136.8791667,L08TBN1,60,2022-10-04T00:19:26Z,OCENVRESUSER,NA,NA,223,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,2,NA,NA,NA,NA,-117.5646255,33.62071568,Yes,L01-223-1 (L08TBN1),NA,2,14,0.0084,Below Average Discharge,0.50214285,0.02833571,4.13571428,0.053353,0.21,8.33E-04,52,NA,NA,NA,NA,NA
L01-242-1 (L07P16),Easily accessible,{05755366-E1F2-43BB-A1D6-AC836A44F681},196.9694195,L07P16,54,2022-10-04T00:20:47Z,OCENVRESUSER,NA,NA,242,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.5825631,33.61466784,Yes,L01-242-1 (L07P16),NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-261-1,Easily accessible,{01783387-75A4-429B-918B-074CD3332D70},149.6386536,L07 - Coto de Caza Golf and Raquet Club near Vista del Verde,66,2022-10-04T00:19:58Z,OCENVRESUSER,NA,NA,261,L01,1,0,ORANGE CO,SOUTH,2,NA,NA,NA,NA,-117.5835926,33.6130471,Yes,L01-261-1,NA,1,12,0.001535,Below Average Discharge,1.00666666,0.03866666,123.5833333,0.008361,0.0252,8.33E-04,38,NA,NA,NA,NA,NA
L01-303-1,Easily accessible,{4DB1E7DE-3FD5-4696-8101-98BEA4A83871},NA,CDC9Added,51,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,303,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.5845432,33.58906495,Yes,L01-303-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-303-2,Inaccessible,{DAFC646C-2E59-4F16-8AFD-87B9CAE3A703},NA,Coto de Caza Golf and Raquet Club,56,2022-10-04T00:21:54Z,OCENVRESUSER,46,NA,303,L01,1,0,ORANGE CO,SOUTH,2,NA,NA,NA,NA,-117.5850715,33.59293399,Yes,L01-303-2,NA,1,1,0.07,Equal,3.5,0.5,150,0.07,0.07,0.07,48,NA,NA,NA,NA,NA
L01-303-3,Inaccessible,{688139FB-EB67-42AA-848F-C55BF48E6B28},NA,Coto de Caza Golf and Raquet Club,36,2022-08-19T16:45:53Z,OCPWPublisher,NA,NA,303,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.5840821,33.59526175,Unknown,L01-303-3,NA,2,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-303-4,Inaccessible,{DB68879F-B851-41C0-A2C5-D131F57A6ECE},NA,Coto de Caza Golf and Raquet Club,60,2022-10-04T00:21:56Z,OCENVRESUSER,NA,NA,303,L01,1,0,ORANGE CO,SOUTH,2,NA,NA,NA,NA,-117.584659,33.596022,Unknown,L01-303-4,NA,2,7,0.018,Below Average Discharge,0.92857142,0.02142857,9.62857142,0.020775,0.068571,0.0021,47,NA,NA,NA,NA,NA
L01-303-5,Difficult accessibility,{77F01F3D-4632-4CFC-AF1B-CCA5EBF929DB},NA,CDC5Added,70,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,303,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.5843535,33.59975122,Yes,L01-303-5,NA,2,7,0.049619,20% Or More Above Average Discharge,0.98571428,0.01720285,7.94714285,0.018878,0.049619,0.006,NA,NA,NA,NA,NA,NA
L01-335-1,Easily accessible,{6D056363-053F-45F5-B22A-6CAFD80C097C},442.4725473,L06-Tesoro,72,2022-10-04T00:22:02Z,OCENVRESUSER,NA,NA,335,L01,1,0,ORANGE CO,SOUTH,2,NA,NA,NA,NA,-117.6128526,33.57790461,Yes,L01-335-1,NA,1,11,0.025641,20% Or More Above Average Discharge,0.34245454,0.0190909,3.41272727,0.013073,0.025641,0.0035,57,NA,NA,NA,NA,NA
L01-335-2,Easily accessible,{65AC036E-2F1F-4616-A08A-A4E7B1D38A11},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,335,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.6127492,33.57739792,Unknown,L01-335-2,NA,1,2,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-340-1,Easily accessible,{F1CABFEE-57C0-45D7-805A-974B2EF723C4},169.4717178,Oso Parkway near Wrangler Ct,90,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,340,L01,1,0,ORANGE CO,SOUTH,2,3,2016-08-15T07:00:00Z,2016-10-04T07:00:00Z,NA,-117.5954402,33.58696205,Yes,L01-340-1,NA,1,22,0.048,Below Average Discharge,0.88818181,0.04081818,4.76545454,0.051357,0.150862,0.001809,39,NA,NA,1,NA,1
L01-372-1,Difficult accessibility,{0562EDDC-63AD-4A1F-8BB1-E41C2E082A28},117.6149137,Coto de Caza,42,2022-10-04T00:24:08Z,OCENVRESUSER,NA,NA,372,L01,1,0,ORANGE CO,SOUTH,1,3,2016-11-16T08:00:00Z,2016-12-08T08:00:00Z,NA,-117.585379,33.56873885,Yes,L01-372-1,NA,2,2,0.004848,Below Average Discharge,0.64,0.025,15.88,0.007224,0.0096,0.004848,NA,NA,NA,NA,NA,NA
L01-391-1,Difficult accessibility,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},29.95853952,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,391,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.5859165,33.57606988,Yes,L01-391-1,NA,2,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-391-3,Easily accessible,{D41F3C53-33B2-4B80-AB83-E479787A54C2},85.50832944,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,391,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.5868252,33.57839188,Unknown,L01-391-3,NA,1,4,0.03,20% Or More Above Average Discharge,0.575,0.0525,33.5,0.012479,0.03,0.00225,NA,NA,NA,NA,NA,NA
L01-399-1,Easily accessible,{9F273F46-123A-4CB8-88E1-327AB79BEDBA},NA,Casper's Park,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,399,L01,1,2,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.546523,33.56325497,Unknown,L01-399-1,NA,1,2,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-399-2,Easily accessible,{02BEB49C-F068-46E2-825C-68BD9C28CB4E},NA,Casper's Park,54,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,399,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.5467328,33.56270889,Unknown,L01-399-2,NA,1,2,4.00E-04,Below Average Discharge,0.4,0.015,45,0.001,0.0016,4.00E-04,NA,NA,NA,NA,NA,NA
L01-404-1,Easily accessible,{CDCEA1A5-E306-47B2-8945-27B1CD159C10},237.7904417,Coto de Caza - Tipu Run near Bentley Rd,72,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,404,L01,1,0,ORANGE CO,SOUTH,2,3,2016-08-17T07:00:00Z,2016-09-27T07:00:00Z,NA,-117.5858466,33.56452183,Yes,L01-404-1,NA,1,21,0.092647,Above Average Discharge,0.89714285,0.04666666,3.50380952,0.0852,0.162,0.006,60,NA,NA,1,NA,1
L01-404-2,Easily accessible,{1E7BFD35-867B-41B5-9FF2-898F561EE27E},NA,NA,72,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,404,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.5855227,33.56345111,Yes,L01-404-2,NA,1,9,0.03135,Below Average Discharge,0.82222222,0.06722222,6.34555555,0.056201,0.23625,0.015273,NA,NA,NA,NA,NA,NA
L01-414-1,Easily accessible,{68338A6C-A350-4B2E-90E5-C3AA59C3D9A8},41.37487005,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,414,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.5905481,33.56170664,Yes,L01-414-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-414-2,Easily accessible,{424C51CE-5569-476A-8035-40A7D01575A0},6.92037064,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,414,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.5920748,33.56488962,Unknown,L01-414-2,NA,1,8,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-414-3,Easily accessible,{834FBB7A-F243-4A65-80C6-AE688690CC0C},86.8482772,NA,60,2022-10-04T00:23:25Z,OCENVRESUSER,NA,NA,414,L01,1,0,ORANGE CO,SOUTH,2,NA,NA,NA,NA,-117.5924377,33.56680442,Yes,L01-414-3,NA,1,4,0.015,Below Average Discharge,1.05,0.1425,6.5,0.232035,0.8,0.015,60,NA,NA,NA,NA,NA
L01-458-1,Difficult accessibility,{12B3B591-46D7-4C09-AEF9-0205FDAAC85B},600.4552961,NA,96,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,458,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.615117,33.5249855,Unknown,L01-458-1,NA,2,4,0.0015,20% Or More Above Average Discharge,0.175,0.00375,5.5,6.75E-04,0.0015,0,NA,NA,NA,NA,NA,NA
L01-471-1,Easily accessible,{1506D8A1-1F63-4CAD-971D-6107A4006B15},319.331511,L07-SR74 ,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,471,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.5973064,33.52557232,Unknown,L01-471-1,NA,1,11,0.051173,20% Or More Above Average Discharge,0.24090909,0.012,6.80818181,0.00661,0.051173,0,NA,NA,NA,NA,NA,NA
L01-494-1,Difficult accessibility,{8ACA8CDD-8242-491B-B115-35F97FCC3354},298.6999359,Bike path near Chiquita Cyn Road,108,2022-05-31T22:17:02Z,OCPWPublisher,NA,NA,494,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.6076268,33.52846755,Yes,L01-494-1,NA,2,9,0.045,Below Average Discharge,1.09111111,0.07055555,7,0.095255,0.2772,0.008025,NA,NA,NA,NA,NA,NA
L01-514-1,Difficult accessibility,{7A6C6799-AB04-4589-9958-5C84F3951CFC},267.4070994,NA,72,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,514,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.6229158,33.52388419,Yes,L01-514-1,NA,2,5,0.0048,Below Average Discharge,3.61,0.02,22,0.019417,0.057143,0.0048,NA,NA,NA,NA,NA,NA
L01-517-1,Easily accessible,{CD0E12FD-1932-4531-BF8C-AE40939F31B4},163.6332043,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,517,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6256819,33.51866901,Unknown,L01-517-1,NA,1,6,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-517-2,Easily accessible,{E56548DF-493B-422E-A5B8-8731DDBDFE40},NA,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,517,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6257208,33.51860298,Unknown,L01-517-2,NA,1,6,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-517-3,Easily accessible,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},603.8362612,NA,60,2022-05-31T16:29:32Z,OCPWPublisher,NA,NA,517,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.6202815,33.52266244,Unknown,L01-517-3,NA,3,10,0.014,20% Or More Above Average Discharge,0.162,0.002,1.1,0.001664,0.014,0,NA,NA,NA,NA,NA,NA
L01-517-6,Difficult accessibility,{E5E98A69-01CF-4012-9B40-92C07976275C},13.85397146,SC-AP bridge 2,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,517,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.618989,33.52411358,Unknown,L01-517-6,NA,2,10,0.009,Below Average Discharge,0.56,0.034,4.1,0.02934,0.0675,0.009,NA,NA,NA,NA,NA,NA
L01-517-7,Difficult accessibility,{91F7E163-76E3-4E60-AF6E-ABEF81E97F26},141.9090018,Santiago/AP bridge,54,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,517,L01,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.6195437,33.52425393,Unknown,L01-517-7,NA,2,9,0,Below Average Discharge,0.08888888,0.00222222,0.66666666,0.001777,0.016,0,NA,NA,NA,NA,NA,NA
L01-517-8,Easily accessible,{01A02819-9301-488A-B748-0623EE010001},NA,2882Added,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,517,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,NA,NA,NA,NA,NA,-117.6245,33.518737,Unknown,L01-517-8,NA,1,4,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-556-1,Easily accessible,{4FE0C734-3649-4717-871F-7A7EB924A050},96.73680063,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,556,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6451428,33.50553072,Unknown,L01-556-1,NA,1,11,0.118571,20% Or More Above Average Discharge,0.291,0.01663636,2.91181818,0.015099,0.118571,0,NA,NA,NA,NA,NA,NA
L01-601-1,Easily accessible,{6E297702-950B-4ECB-93F7-6D8CE2CE5D00},10.8002002,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,601,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.677888,33.48172393,Unknown,L01-601-1,NA,1,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-602-2,Difficult accessibility,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},2.62733872,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,602,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6536768,33.49828674,Yes,L01-602-2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-613-1,Easily accessible,{66BF25E7-7C2E-440C-B88E-6770670FC382},NA,"Nested discharge point, not an outfall by definition ",36,2023-10-24T23:06:01Z,OCENVRESUSER,NA,NA,613,L01,3,0,DANA POINT,SOUTH,NA,NA,NA,NA,NA,-117.6793327,33.46916647,Yes,L01-613-1,NA,1,4,0.006136,Above Average Discharge,0.5125,0.0175,14.08,0.005884,0.0144,0.0012,NA,NA,NA,NA,NA,NA
L01-618-1,Easily accessible,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},92.62287102,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,618,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6521706,33.5000465,Yes,L01-618-1,NA,1,1,0.081,Equal,0.9,0.15,10,0.081,0.081,0.081,NA,NA,NA,NA,NA,NA
L01-618-2,Difficult accessibility,{DBB6D67B-D85C-4FC2-AE21-A7AD70D991C8},399.4920935,NA,96,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,618,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6503658,33.50048772,Yes,L01-618-2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-618-3,Easily accessible,{A981599B-D002-446E-B808-453E58ACEA12},6.92800257,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,618,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6500212,33.50155524,Unknown,L01-618-3,NA,1,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-618-4,Difficult accessibility,{6CAF875E-8955-448F-B3BC-D7F75183DDDE},108.6794499,NA,36,2022-10-03T16:52:26Z,OCPWPublisher,NA,NA,618,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6485177,33.5025008,Unknown,L01-618-4,NA,5,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-618-5 (L01S09),Easily accessible,{DB6B9824-56ED-459B-A97E-F9966647E89B},393.005953,L01S09,NA,2022-10-03T23:46:38Z,OCENVRESUSER,53,120,618,L01,1,1,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.64812,33.501988,Yes,L01-618-5 (L01S09),NA,1,12,0.568421,20% Or More Above Average Discharge,0.84083333,0.07558333,6.90916666,0.180631,1.411765,0,NA,NA,NA,NA,NA,NA
L01-724-1 (L01S01),Easily accessible,{8A859AA8-432F-48A4-B9EF-89E317C329D5},283.4090403,L01S01,NA,2022-10-05T20:57:52Z,OCENVRESUSER,4,7,724,L01,1,1,SAN JUAN CAPISTRANO,SOUTH,2,3,2016-07-12T07:00:00Z,2016-07-28T07:00:00Z,NA,-117.6770626,33.48318609,Yes,L01-724-1 (L01S01),NA,1,17,0.129524,20% Or More Above Average Discharge,2.6717647,0.02294117,4.62352941,0.093346,0.206897,0.032,36,NA,NA,1,NA,NA
L01-724-2,Easily accessible,{9AFBCAFD-4410-42DD-A83A-9F170C6B1FBA},16.19787546,Drains to L01S01,48,2022-11-17T16:37:36Z,OCPWPublisher,NA,NA,724,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6772035,33.48347973,Unknown,L01-724-2,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-724-4 (L01P03),Easily accessible,{1A565B60-44E0-4E2C-84FE-2362549F11C4},349.7219138,L01P03,96,2022-10-05T21:20:17Z,OCENVRESUSER,NA,NA,724,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,2,3,2016-12-12T00:00:00Z,2017-01-26T00:00:00Z,NA,-117.675358,33.4847041,Yes,L01-724-4 (L01P03),NA,1,18,0.241015,20% Or More Above Average Discharge,1.42166666,0.07555555,5.25888888,0.135838,0.340909,0.0357,40,NA,NA,1,1,NA
L01-726-2,Easily accessible,{2E54A407-3CB1-4115-BE98-54634E27A6A6},2.51489735,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,726,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6795156,33.47487148,Unknown,L01-726-2,NA,1,4,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-726-3,Easily accessible,{B22F4F14-A3E0-4A9A-9F0F-891910B4EB75},11.88573163,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,726,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6788187,33.47522955,Unknown,L01-726-3,NA,1,15,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-726-5,Easily accessible,{2B22BC20-4B7A-42C3-8427-8487ACC1F123},68.90709888,NA,54,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,726,L01,1,0,DANA POINT,SOUTH,2,NA,NA,NA,NA,-117.6793196,33.47582393,Yes,L01-726-5,NA,1,13,0.052077,20% Or More Above Average Discharge,1.45,0.02438461,15.98153846,0.015596,0.060674,0,29,NA,NA,1,NA,NA
L01-726-6,Easily accessible,{D64CBB08-F94D-40E2-BF24-D05C3319C2F7},6.21310567,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,726,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6792461,33.47619715,Unknown,L01-726-6,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-726-7,Easily accessible,{18A42986-EA31-4E07-A4F6-D18E1CBDE933},5.74416805,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,726,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.678454,33.47686584,Unknown,L01-726-7,NA,1,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-726-8,Easily accessible,{88ED161A-736E-448B-AF46-40F0E8C2F54E},32.32890123,NA,54,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,726,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6786837,33.47849535,Unknown,L01-726-8,NA,1,12,0,Below Average Discharge,0.20833333,0.00166666,1.3,4.80E-04,0.005769,0,NA,NA,NA,NA,NA,NA
L01-726-9,Easily accessible,{8940546C-B67E-42D6-9426-7F1E9452BFE1},89.27240799,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,726,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6781053,33.47841897,Unknown,L01-726-9,NA,1,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-727-1 (L01S04),Easily accessible,{798A1AA2-7443-4216-9DB2-0FB1B57E4222},458.4026999,L01S04,96,2022-10-04T23:23:13Z,OCENVRESUSER,NA,NA,727,L01,1,0,DANA POINT,SOUTH,1,3,2017-05-10T00:00:00Z,2017-07-03T00:00:00Z,NA,-117.6810116,33.47115503,Unknown,L01-727-1 (L01S04),NA,1,19,1.162791,20% Or More Above Average Discharge,1.15315789,0.04096489,3.15105263,0.129248,1.162791,0,NA,NA,NA,NA,NA,NA
